NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,14.0,224455,M-8ZRO BC,M-P1278 ZRO BARC DEFECT INSPECT,2025-07-16 10:35:06,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,15.0,224266,L-8ZRO BC,L-P1278 ZRO BARC DEFECT CLASSIFY,2025-07-16 10:35:06,,LITHO,LI-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,16.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-16 10:51:26,2.0,LITHO,LI-SNEli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,17.0,217257,L-8ZRObaW,L-P1278 ba  ZRO DOCD MEAS,2025-07-16 10:57:48,2.0,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,18.0,204165,Z 8OXZRVRF,Z P1278 ZRO OX VRF WFR TO LOT ACCR,2025-07-16 10:57:48,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,19.0,224456,M-8ZRO DC,M-P1278 ZRO DEFECT INSPECT,2025-07-16 10:57:48,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,20.0,204060,L-8ZRObaCD,L-P1278 ZRO ba DCCD MEASURE,2025-07-16 11:03:17,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,21.0,204314,L-8b ZRO R,L-P1278b ZRO 1ST LYR REG (ZRO),2025-07-16 11:10:22,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,22.0,224267,L-8ZRO DC,L-P1278 ZRO DEFECT CLASSIFY,2025-07-16 11:10:22,,LITHO,LI-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,23.0,218043,E*8ZROa E,E*P1278 ZROa Si ETCH LAT,2025-07-16 11:36:09,2.0,ETCH,DE-PATna
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,24.0,213750,E 8ZRO ASH,E P1278 ZRO CHM FG Ash,2025-07-16 11:52:23,2.0,ETCH,DE-APTde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,25.0,179265,W 8ZRO CL,W P1278 ZRO ETCH POST CLEAN,2025-07-16 12:13:28,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,26.0,217258,L-8ZRObaZ,L-P1278 ba  ZRO FOCD MEAS,2025-07-16 12:13:28,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,27.0,217130,Z 8ZROFVRF,Z P1278 ZRO FOCD VERIFY WFR,2025-07-16 12:13:29,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,28.0,204061,L-8ZRObaFC,L-P1278 ZRO ba FCCD MEASURE,2025-07-16 12:21:03,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,29.0,189005,Z 8RNDIF06,Z P1278 RANDOMIZE IN FOUP 06,2025-07-16 12:34:18,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,30.0,179566,T*8ZROSAF,T*P1278 ZRO SAFFRON DEP,2025-07-16 12:46:29,2.0,THIN FILMS,TD-CDTsa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,31.0,176862,Z 8ZRO VRF,Z P1278 ZRO VERIFY WFR TO LOT ACCR,2025-07-16 12:46:29,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,32.0,180409,D*8ZROISON,D*P1278 ZRO ISON DEPOSITION,2025-07-16 17:01:14,2.0,DIFFUSION,DI-STVdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,33.0,187122,Z 8G4SUIT,Z P1278 GEN SUITCASE SPLIT 4,2025-07-16 17:01:15,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,34.0,180250,T*8ZROHDX,T*P1278 ZRO HENDRIX DEP,2025-07-16 17:47:52,2.0,THIN FILMS,TD-FLOng
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,35.0,179266,W*8NINAZR,W*P1278 ZRO NINA CLEAN,2025-07-16 18:00:15,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,36.0,180488,T*8ZHXANL,T*P1278 ZRO HENDRIX ANNEAL,2025-07-16 18:11:35,2.0,THIN FILMS,TD-REKmk
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,37.0,180248,D*8ZROGPOX,D*P1278 ZRO GOOP OXIDATION,2025-07-17 21:33:51,2.0,DIFFUSION,DI-VFOdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,38.0,179532,P*8OATPOL,P*P1278  OX ALIGN TRENCH POLISH,2025-07-17 21:56:30,2.0,PLANAR,PL-PLIop
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,39.0,176589,E*8 ZRO,E*P1278 ZRO Oxide Recess,2025-07-17 22:19:20,2.0,ETCH,DE-GTXte
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,40.0,179267,W 8 ZRG CL,W P1278 ZRO POST GOOP RECESS CLN,2025-07-17 22:30:56,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,41.0,197082,A-8ZRGRECa,A-P1278 ZRO GOOP RECESS NCD a,2025-07-17 23:22:26,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,42.0,189006,Z 8RNDIF07,Z P1278 RANDOMIZE IN FOUP 07,2025-07-17 23:44:28,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,43.0,180047,D*8ZROPOLY,D*P1278 ZROPOL POLY DEPOSITION,2025-07-19 08:45:18,2.0,DIFFUSION,DI-VFPdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,44.0,192525,Z 8G14SUIT,Z P1278 GEN SUITCASE SPLIT 14,2025-07-19 09:10:28,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,45.0,201772,W 8JGRBZRO,W P1278 JGR ZRO poly REM,2025-07-19 09:51:56,2.0,WET ETCH,WE-JGRwe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,46.0,179606,P*8ESIPPLI,P*P1278 E Si INTERFACE POLISH PLI,2025-07-19 11:02:03,2.0,PLANAR,PL-PLIsp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,47.0,204078,A-8ZROFCc,A-P1278 ZROFC NCD c,2025-07-19 11:40:31,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,48.0,207621,W 8ZROXRMa,W P1278 ZRO PadOx REM a,2025-07-19 12:18:00,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,49.0,182835,M-8ORL IN1,M-P1278 ORL INSPECT1,2025-07-19 12:18:00,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,50.0,180321,M-8ZROFC P,M-P1278 ZROFC FINAL CHECK API,2025-07-19 12:18:00,,METRO,DM-SRC6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,51.0,180323,M-8ZROFC S,M-P1278 ZROFC FINAL CHECK SN,2025-07-19 12:54:43,2.0,METRO,DM-FDM
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,52.0,180322,M-8ZROFC R,M-P1278 ZROFC FINAL CHECK RV,2025-07-19 13:23:22,2.0,METRO,DM-SRYtm
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,53.0,180320,M-8ZROFC C,M-P1278 ZROFC FINAL CHECK CL,2025-07-19 14:48:34,2.0,METRO,DM-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,54.0,231189,M-8ZROFC V,M-P1278 ZROFC LOGIC BLOCK,2025-07-19 14:48:48,2.0,METRO,DM-LOGIC
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,55.0,189010,Z 8RNDIF23,Z P1278 RANDOMIZE IN FOUP 23,2025-07-19 14:59:40,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,56.0,192827,D*8POXPAD,D*P1278 SUBSTRATE IMPLANT POX PAD,2025-07-20 00:00:57,2.0,DIFFUSION,DI-VFOae
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,57.0,209410,Z 8G24SUIT,Z P1278 GEN SUITCASE SPLIT 24,2025-07-20 00:15:53,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,58.0,192847,D*8NDRGAL,D*P1278 NDR GALEA Pad,2025-07-20 00:33:19,2.0,DIFFUSION,DI-SATtt
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,59.0,195232,W 8PNDRCLN,W P1278 NDR POST CAP CLEAN,2025-07-20 01:09:13,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,60.0,195383,E 8NDRCAPA,E P1278  NDR POST CAP ASH,2025-07-20 01:20:37,2.0,ETCH,DE-RCLde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,61.0,192434,W 8NDR CLN,W P1278 NDR CAP CLEAN,2025-07-20 01:30:38,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,62.0,195405,W 8NDRBSCB,W P1278 PRE NDR BEVEL SCRUB,2025-07-20 01:36:16,2.0,WET ETCH,WE-DRTnb
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,63.0,195407,W 8NDRLSCB,W P1278 PRE NDR LITHO SCRUB,2025-07-20 01:40:36,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,64.0,192543,L 8NDR CH,L P1278 NDR CARBON HARDMASK DEP,2025-07-20 02:10:25,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,65.0,192544,L 8NDR SA,L P1278 NDR SiARC DEP,2025-07-20 02:24:23,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,66.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-20 02:47:49,2.0,LITHO,LI-SAVli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,67.0,217259,L-8NDRbaW,L-P1278 ba  NDR DOCD MEAS,2025-07-20 02:47:49,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,68.0,196560,Z 8NDRcVRF,Z P1278 NDR CHM VRFY LOT ACCR,2025-07-20 02:47:49,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,69.0,204138,L-8NDRbaCD,L-P1278 NDR ba DCCD MEASURE,2025-07-20 06:48:12,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,70.0,213748,L-8b NDRaR,L-P1278b a NDR REG (ZRO),2025-07-20 07:42:59,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,71.0,263382,E 8OXISORW,E P1278 RWK  ISO ETCH OXT,2025-07-20 08:06:12,2.0,ETCH,DE-OXTrk
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,72.0,263525,E 8RWIMPFG,E P1278 RWK IMPLANT FG ASH,2025-07-20 08:25:20,2.0,ETCH,DE-RCLde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,73.0,145659,W 8RWK CLN,W P1278 RWK TL CLEAN,2025-07-20 08:41:24,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,74.0,146372,W 8RWKBSCB,W P1278 RWK PRE LITHO BEVEL SCRUB,2025-07-20 08:48:26,2.0,WET ETCH,WE-DRTnb
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,75.0,182963,W 8RWgLSCB,W P1278g RWK PRE LITHO SCRUB,2025-07-20 08:52:31,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,76.0,192543,L 8NDR CH,L P1278 NDR CARBON HARDMASK DEP,2025-07-20 08:59:49,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,77.0,192544,L 8NDR SA,L P1278 NDR SiARC DEP,2025-07-20 09:08:45,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,78.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-20 10:25:31,2.0,LITHO,LI-SAVli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,79.0,217259,L-8NDRbaW,L-P1278 ba  NDR DOCD MEAS,2025-07-20 10:25:31,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,80.0,196560,Z 8NDRcVRF,Z P1278 NDR CHM VRFY LOT ACCR,2025-07-20 10:25:31,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,81.0,204138,L-8NDRbaCD,L-P1278 NDR ba DCCD MEASURE,2025-07-20 10:33:02,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,82.0,213748,L-8b NDRaR,L-P1278b a NDR REG (ZRO),2025-07-20 10:50:25,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,83.0,202081,E*8UNDRTLE,E*P1278 NDR TRILAYER ETCH USAGE,2025-07-20 11:04:05,2.0,ETCH,DE-GTXte
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,84.0,192429,W*8NDRTRM,W*P1278 NDR TIN LINER ETCH,2025-07-20 11:15:08,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,85.0,217260,L-8NDRbaZ,L-P1278 ba  NDR FOCD MEAS,2025-07-20 11:15:08,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,86.0,217131,Z 8NDRFVRF,Z P1278 NDR FOCD VERIFY WFR,2025-07-20 11:15:08,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,87.0,204139,L-8NDRbaFC,L-P1278 NDR ba FCCD MEASURE,2025-07-20 11:22:07,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,88.0,210928,I*8NDRa,I*P1278 NDR a P-TYPE ON NMOS,2025-07-20 12:19:38,2.0,IMPLANT,IM-VIMhc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,89.0,195412,Z 8NDRIVRF,Z P1278 NDR IMPLANT VRFY LOT ACCR,2025-07-20 12:19:38,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,90.0,210929,I*8NDRda,I*P1278 NDR a DEEP P-TYPE ON NMOS,2025-07-20 12:44:04,2.0,IMPLANT,IM-VIMhc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,91.0,196561,Z 8NDRdVRF,Z P1278 NDRd IMPLANT VRFY LOT ACCR,2025-07-20 12:44:04,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,92.0,192005,E 8NDR ASH,E P1278 NDR CHM HIN ASH,2025-07-20 13:11:06,2.0,ETCH,DE-HINdl
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,93.0,195387,W*8NDR PRM,W*P1278 NDR POST CHM ASH TiN REM1,2025-07-20 13:22:57,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,94.0,195385,W 8NDRREM,W P1278 NDR POST CHM ASH TiN REM2,2025-07-20 13:55:10,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,95.0,189015,Z 8RNDIF29,Z P1278 RANDOMIZE IN FOUP 29,2025-07-20 14:02:23,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,96.0,192848,D*8PDRGAL,D*P1278 PDR GALEA Pad,2025-07-20 14:19:38,2.0,DIFFUSION,DI-SATtt
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,97.0,195231,W 8PPDRCLN,W P1278 PDR POST CAP CLEAN,2025-07-20 15:09:03,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,98.0,195384,E 8PDRCAPA,E P1278  PDR POST CAP ASH,2025-07-20 15:23:09,2.0,ETCH,DE-RCLde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,99.0,192433,W 8PDR CLN,W P1278 PDR CAP CLEAN,2025-07-20 15:34:09,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,100.0,195406,W 8PDRBSCB,W P1278 PRE PDR BEVEL SCRUB,2025-07-20 15:41:28,2.0,WET ETCH,WE-DRTnb
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,101.0,195408,W 8PDRLSCB,W P1278 PRE PDR LITHO SCRUB,2025-07-20 15:45:27,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,102.0,192545,L 8PDR CH,L P1278 PDR CARBON HARDMASK DEP,2025-07-20 16:00:38,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,103.0,192546,L 8PDR SA,L P1278 PDR SiARC DEP,2025-07-20 16:07:44,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,104.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-20 16:29:34,2.0,LITHO,LI-SAVli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,105.0,217261,L-8PDRbaW,L-P1278 ba  PDR DOCD MEAS,2025-07-20 16:29:34,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,106.0,196562,Z 8PDRcVRF,Z P1278 PDR CHM VRFY LOT ACCR,2025-07-20 16:29:34,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,107.0,204140,L-8PDRbaCD,L-P1278 PDR ba DCCD MEASURE,2025-07-20 16:36:52,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,108.0,213749,L-8b PDRaR,L-P1278b a PDR REG (ZRO),2025-07-20 16:48:03,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,109.0,263382,E 8OXISORW,E P1278 RWK  ISO ETCH OXT,2025-07-20 17:14:28,2.0,ETCH,DE-OXTrk
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,110.0,263525,E 8RWIMPFG,E P1278 RWK IMPLANT FG ASH,2025-07-20 17:33:45,2.0,ETCH,DE-RCLde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,111.0,145659,W 8RWK CLN,W P1278 RWK TL CLEAN,2025-07-20 17:45:34,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,112.0,146372,W 8RWKBSCB,W P1278 RWK PRE LITHO BEVEL SCRUB,2025-07-20 17:55:43,2.0,WET ETCH,WE-DRTnb
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,113.0,182963,W 8RWgLSCB,W P1278g RWK PRE LITHO SCRUB,2025-07-20 18:01:23,2.0,WET ETCH,WE-DRTnc
